X1,Brand,Name,Old.Price,New.Price,ml,Concentration,Department,Scents,Base,Middle,Item.Rating,Seller,Seller.Rating,Number.Of.Sellers.Ratings,Change.In.Price,Change.In.Price.Percentage,Rating.Numbers
71,TOMMY HILFIGER,Tommy,340,129,100,EDT,Men,Spicy,"Amber, Cactus, Cotton","Cranberry, Rose, Apple",4.4,AMLAQ,3.9,135,211,62.06,135
73,EMPORIO ARMANI,Stronger With You,415,175.85,100,EDT,Men,Floral,"Amberwood, Cedar, Chestnut, Vanilla","Melon, Pineapple, Sage",4.5,flower,3.8,66,239.15,57.63,66
74,TED LAPIDUS,Rumba Passion Ted Lapidus,140,95,100,EDT,Women,Floral,"Patchouli, Vanilla, Honey","Jasmine, Rose",5,Beauty Gallery,3.7,59,45,32.14,59
75,HUGO BOSS,Dark Blue,159,129,75,EDT,Men,Citrus,"Benzoin, Olibanum, Patchouli, Suede","Pelargonium, Cypress, Sage",4.5,Diorworld,3.6,30,30,18.87,30
76,VERSACE,Dylan Blue,425,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K,207.15,48.74,98100
77,BOUCHERON,Quatre,462,169.75,100,EDP,Women,Floral,"Caramel, Cashmere, Vanilla, White Musk","Apple, Jasmine, Fishing, Rose",4.9,noon,4.2,98.1K,292.25,63.26,98100
78,DORALL COLLECTION,Molto Carina,27,8.55,100,EDT,Women,Woody,"Musk, Lactone, Woody Amber","Tropical Fruits, Peach, Jasmin, Water",4,B.A.G,3.7,14.1K,18.45,68.33,14100
79,armani,Stronger With You Intensely,457,336,100,EDP,Men,Sweet Aromatic,Ambery Woods,Vanilla,4.8,flower,3.9,537,121,26.48,537
80,PACO RABANNE,1 Million,395,173,100,EDT,Men,Woody,"Indian Patchouli, amber, woody notes, leather","Rose absolute, musk, cinnamon bark",3.8,Al-Najm,3.7,347,222,56.2,347
81,VALENTINO,Valentina,500,241,80,EDP,Women,Floral,"Virginia Cedar, Vanilla, Amber","Strawberry, Tuberose, African Orange Flower, Jasmine",5,top langri,3.7,347,259,51.8,347
82,Ard Al Zaafaran,Oud 24 Hours,47,47,100,EDP,Unisex,Fresh,"Amber, Incense, Sandalwood, Patchouli, Agarwood (oud)","Spicy Notes, Fruity Notes, Jasmine, Gardenia, Ylang-ylang",4,Attractive perfume,3.5,244,0,0,244
83,DKNY,Be Delicious,185,148.35,100,EDP,Women,Floral,"White Amber, Woods","Apple, Tuberose, White Muguet, Rose, Violet",4.8,AMLAQ,3.9,135,36.65,19.81,135
84,Estee Lauder,Modern Muse,584,239.7,100,EDP,Women,Floral,"Patchouli, Amber, Musk, Vanilla, Woodsy Note","Tuberose, Lily, Flower Petals, Honeysuckles, Jasmine Sambac, Chinee Jasmine",4.5,AMLAQ,3.9,135,344.3,58.96,135
85,CAROLINA HERRERA,Good Girl,565,213.15,80,EDP,Women,Arabian,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",4.8,hadayiq baris,3.8,122,351.85,62.27,122
86,BURBERRY,Mr.Burberry,515,199.9,100,EDP,Men,Woody,"Sandalwood, Vetiver , Guaiac Wood","Birch Leaf, Nutmeg Oil , Cedar",4.6,Faces,3.9,61,315.1,61.18,61
87,Guerlain,Ideal,560,223,100,EDP,Men,Fruity,"Leather, Sandalwood, Tonka Beans","Bulgarian Rose, Cherry, Incense, Vanilla",4.8,Majestueuse,4.8,21,337,60.18,21
89,ELIE SAAB,Girl of Now Shine,504,192,90,EDP,Women,Arabian,"Iris, Jasmine, Sweet Vanilla, Patchouli","Roasted Almonds, Ylang-ylang",5,flower,4.2,98,312,61.9,98
90,NARCISO RODRIGUEZ,Narciso Rodriguez,436,215.75,50,EDP,Women,Spicy,"Patchouli, Sandalwood","Amber, Musk",4.3,noon,4.2,98.1K,220.25,50.52,98100
91,Ajmal,Raindrops,97,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K,49.05,50.57,98100
92,Roberto Cavalli,Uomo,349,126,100,EDT,Men,Floral,Cedar,"Honey, Lavender",5,noon,4.2,98.1K,223,63.9,98100
93,MONTBLANC,Emblem Absolu,395,116,100,EDT,Men,Spicy,"Patchouli, Vetiver, Moss","Pink Pepper, Lavender, Fruits, Honey",4.7,Modon,3.9,537,279,70.63,537
94,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin, Patchouli","Basil, Verbena, Lavender",4.8,Al-Najm,3.7,347,245,74.24,347
95,Calvin Klein,CKIN2U,148,82.9,100,EDT,Men,Citrus,"Vetiver, Cedar, White Musk",Cacao Pod,5,AMLAQ,3.9,135,65.1,43.99,135
96,Roberto Cavalli,Florence,230,166.8,75,EDP,Women,Floral,"Patchouli, Musk, Amber","Orange Blossom, Grapefruit Blossom, Hibiscus Seed",4.6,AMLAQ,3.9,135,63.2,27.48,135
